m2,k2
1.3251884080457927,1.984864452853713
2.3251884080457925,1.644864452853713
0.8251884080457927,1.814864452853713
1.8251884080457927,1.9281977861870463
1.0751884080457927,1.5881977861870464
2.0751884080457925,1.7581977861870464
0.5751884080457927,1.8715311195203794
1.5751884080457927,1.5315311195203798
1.4501884080457927,1.7015311195203797
2.4501884080457925,2.003753341742602
0.9501884080457927,1.6637533417426018
1.9501884080457927,1.833753341742602
1.2001884080457927,1.947086675075935
2.2001884080457925,1.6070866750759352
0.7001884080457927,1.7770866750759353
1.7001884080457927,1.8904200084092686
1.2626884080457927,1.5504200084092685
2.2626884080457925,1.7204200084092685
0.7626884080457927,2.0226422306314906
1.7626884080457927,1.6826422306314908
1.0126884080457927,1.8526422306314907
2.0126884080457925,1.965975563964824
0.5126884080457927,1.6259755639648241
1.5126884080457927,1.795975563964824
1.3876884080457927,1.9093088972981573
2.3876884080457925,1.5693088972981575
0.8876884080457927,1.7393088972981574
1.8876884080457927,1.9911607491500092
1.1376884080457927,1.6511607491500093
2.1376884080457925,1.8211607491500093
0.6376884080457927,1.9344940824833425
1.6376884080457927,1.5944940824833427
1.3564384080457927,1.7644940824833426
2.3564384080457925,1.877827415816676
0.8564384080457927,1.537827415816676
1.8564384080457927,1.707827415816676
1.1064384080457927,2.010049638038898
2.1064384080457925,1.6700496380388983
0.6064384080457927,1.8400496380388982
1.6064384080457927,1.9533829713722313
1.4814384080457927,1.6133829713722314
2.4814384080457925,1.7833829713722316
0.9814384080457927,1.8967163047055648
1.9814384080457927,1.556716304705565
1.2314384080457927,1.726716304705565
2.2314384080457925,2.028938526927787
0.7314384080457927,1.688938526927787
1.7314384080457927,1.858938526927787
1.2939384080457927,1.9722718602611202
2.2939384080457925,1.6322718602611204
0.7939384080457927,1.8022718602611203
1.7939384080457927,1.9156051935944536
1.0439384080457927,1.5756051935944537
2.0439384080457925,1.7456051935944537
0.5439384080457927,1.9785681565574165
1.5439384080457927,1.6385681565574166
1.4189384080457927,1.8085681565574165
2.4189384080457925,1.9219014898907498
0.9189384080457927,1.58190148989075
1.9189384080457927,1.75190148989075
1.1689384080457927,1.8652348232240832
2.1689384080457925,1.5252348232240833
0.6689384080457927,1.6952348232240833
1.6689384080457927,1.9974570454463054
1.3408134080457927,1.6574570454463056
2.3408134080457925,1.8274570454463055
0.8408134080457927,1.9407903787796388
1.8408134080457927,1.600790378779639
1.0908134080457927,1.7707903787796389
2.0908134080457925,1.8841237121129721
0.5908134080457927,1.5441237121129723
1.5908134080457927,1.7141237121129722
1.4658134080457927,2.0163459343351944
2.4658134080457925,1.6763459343351945
0.9658134080457927,1.8463459343351944
1.9658134080457927,1.9596792676685277
1.2158134080457927,1.6196792676685279
2.2158134080457925,1.7896792676685278
0.7158134080457927,1.903012601001861
1.7158134080457927,1.5630126010018612
1.2783134080457927,1.7330126010018612
2.2783134080457925,1.9806669219895154
0.7783134080457927,1.6406669219895154
1.7783134080457927,1.8106669219895155
1.0283134080457927,1.9240002553228486
2.0283134080457925,1.5840002553228487
0.5283134080457927,1.7540002553228486
1.5283134080457927,1.867333588656182
1.4033134080457927,1.5273335886561823
2.4033134080457925,1.697333588656182
0.9033134080457927,1.9995558108784042
1.9033134080457927,1.6595558108784043
1.1533134080457927,1.8295558108784045
2.1533134080457925,1.9428891442117375
0.6533134080457927,1.6028891442117377
